Rep,N,Crate,Model,SE1,SE2,SE3,nu
52,25,0.0,MSLC,0.51702215892815,0.4573309971452,0.32701668203127,4
53,25,0.0,MVN,0.531013237829836,0.323008422757454,0.314369754425395,4
53,25,0.0,MVT,0.496421972797298,0.324171408087509,0.289926660113865,4
53,25,0.0,MSL,0.481868209285862,0.317865848190422,0.28588178831732,4
53,25,0.0,MVNC,0.531013237829836,0.323008422757454,0.314369754425395,4
53,25,0.0,MVTC,0.496421972776852,0.32417140807106,0.289926660104452,4
53,25,0.0,MSLC,0.48309554934215,0.31781114081093,0.286576994404836,4
54,25,0.0,MVN,0.656827546931573,0.469207152531422,0.381622847582663,4
54,25,0.0,MVT,0.658609697097871,0.469723338965398,0.380038067899426,4
54,25,0.0,MSL,0.656286730458071,0.468493190740097,0.38000194668232,4
54,25,0.0,MVNC,0.656827546931572,0.469207152531421,0.381622847582663,4
54,25,0.0,MVTC,0.659030953738486,0.469869891940043,0.379767461617494,4
54,25,0.0,MSLC,0.665475925891526,0.470775321551641,0.365952033611613,4
55,25,0.0,MVN,0.550693815259013,0.523510214172848,0.438584639595734,4
55,25,0.0,MVT,0.560650785897777,0.531855428659866,0.428209674380972,4
55,25,0.0,MSL,0.554308408711781,0.526751706161111,0.434617622361347,4
55,25,0.0,MVNC,0.550693815259013,0.523510214172848,0.438584639595734,4
55,25,0.0,MVTC,0.56065078590806,0.531855428680639,0.428209674513357,4
55,25,0.0,MSLC,0.569131425142983,0.539190365740498,0.414041700290316,4
56,25,0.0,MVN,0.676634225137422,0.564891484803277,0.235084463399385,4
56,25,0.0,MVT,0.67663515323158,0.564892631997499,0.235084826899946,4
56,25,0.0,MSL,0.676978864083846,0.565324425727697,0.235225869991824,4
56,25,0.0,MVNC,0.676634225137421,0.564891484803277,0.235084463399385,4
56,25,0.0,MVTC,0.676634854106235,0.564892262255502,0.235084709743611,4
56,25,0.0,MSLC,0.692923545728307,0.588703302269701,0.243254915759554,4
57,25,0.0,MVN,0.334074702512277,0.38300711155567,0.279975905608202,4
57,25,0.0,MVT,0.334511011332863,0.383093084037205,0.280586153436122,4
57,25,0.0,MSL,0.334304614273927,0.383066520251858,0.280264163448228,4
57,25,0.0,MVNC,0.334074702512277,0.38300711155567,0.279975905608202,4
57,25,0.0,MVTC,0.334511009034747,0.383093081766059,0.280586151291849,4
57,25,0.0,MSLC,0.338774195669124,0.383492320109959,0.285297248766878,4
58,25,0.0,MVN,0.496891580498256,0.44744714327751,0.258229992939829,4
58,25,0.0,MVT,0.439184634581762,0.348798965021158,0.244348338753711,4
58,25,0.0,MSL,0.463961630609726,0.386145562993529,0.259466645219008,4
58,25,0.0,MVNC,0.496891580498256,0.44744714327751,0.258229992939829,4
58,25,0.0,MVTC,0.439184634052944,0.348798964395184,0.244348338538334,4
58,25,0.0,MSLC,0.476326190706924,0.411622809256161,0.260143861562908,4
59,25,0.0,MVN,0.871545192351929,0.937761367299383,0.507153775211154,4
59,25,0.0,MVT,0.441399345528569,0.376120730693409,0.279196994711044,4
59,25,0.0,MSL,0.470697180879628,0.397467484306351,0.30041068147949,4
59,25,0.0,MVNC,0.87154519235193,0.937761367299383,0.507153775211154,4
59,25,0.0,MVTC,0.44139934545462,0.376120730626373,0.279196994661758,4
59,25,0.0,MSLC,0.498724325959075,0.417977339948385,0.314595218379209,4
60,25,0.0,MVN,0.505399522149547,0.455899884718398,0.35403944439459,4
60,25,0.0,MVT,0.511482260310259,0.454931778011075,0.347469870069611,4
60,25,0.0,MSL,0.505438658573732,0.4551945103439,0.352792070958451,4
60,25,0.0,MVNC,0.505399522149547,0.455899884718398,0.35403944439459,4
60,25,0.0,MVTC,0.511482260252978,0.454931777975258,0.347469870056329,4
60,25,0.0,MSLC,0.519767272035684,0.457186898607811,0.343023773532816,4
61,25,0.0,MVN,0.632051608117788,0.52413433225812,0.401403574486955,4
