Rep,N,Crate,Model,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,nu
20,25,0.0,MVN,0.53818761517375,1.87933831584902,2.92982592513448,8.71000372221737,5.21271015710115,4.19245381568506,2.94516443704932,2.22385118698645,2.66045947043532,0.0,4
20,25,0.0,MVT,0.4207793998815,1.82344719235752,2.98159843654321,5.74746379419924,3.59326642925617,3.18289982518183,2.50679088758406,2.0424828290146,2.32017219782579,6.94762026712254,4
20,25,0.0,MSL,0.318693277855759,1.75366396196066,2.94288970163181,3.9255034088789,2.43627501752704,2.16524488015086,1.78475217316759,1.43086271936138,1.66136617169945,3.75249946819393,4
20,25,0.0,MVNC,0.53818761517375,1.87933831584902,2.92982592513448,8.71000372221737,5.21271015710115,4.19245381568506,2.94516443704932,2.22385118698645,2.66045947043532,0.0,4
20,25,0.0,MVTC,0.420779399865229,1.82344719234376,2.98159843652935,5.74746379442109,3.59326642936651,3.18289982524486,2.50679088763108,2.04248282902921,2.32017219786715,6.94762026192014,4
20,25,0.0,MSLC,0.322202532647008,1.754911259102,2.9359889512409,4.36865422298405,2.6784903880853,2.35122754433724,1.92872334699685,1.5257362046864,1.79390497837454,4.63726756310283,4
21,25,0.0,MVN,0.487582429920063,1.36137884725533,2.73070121405581,4.30181904994879,2.63425200022627,3.70069734497559,0.658972289823758,1.42508485556404,2.02858940394638,0.0,4
21,25,0.0,MVT,0.490654545181195,1.3735156088867,2.7359677967796,4.22505933595347,2.54928663441106,3.5934883181535,0.621803770458328,1.37581637799954,1.99996599349876,149.79963618959,4
21,25,0.0,MSL,0.503248952206095,1.39422618700888,2.74528292963317,3.53693935592567,2.08114057244177,2.95079050684086,0.485415332821627,1.11962882764694,1.68583349767466,12.1937787061876,4
21,25,0.0,MVNC,0.487582429920063,1.36137884725533,2.73070121405581,4.30181904994879,2.63425200022627,3.70069734497559,0.658972289823758,1.42508485556405,2.02858940394638,0.0,4
21,25,0.0,MVTC,0.488313099413156,1.36411391882006,2.73188958589276,4.2847809240273,2.61536413279826,3.67687753326328,0.650683621163973,1.41413145789692,2.02224946370728,685.771783507948,4
21,25,0.0,MSLC,0.538408469678303,1.47876144959139,2.78336894945455,2.60404439015151,1.30798954287222,1.92886448153116,0.212106303790057,0.687067324878462,1.2867547616758,4.98974950968256,4
22,25,0.0,MVN,0.500768200239454,1.86314390608049,2.7957045831664,9.60064213155268,7.48605562719368,6.86501945898103,5.98798264344862,4.91493812268744,5.8223012372643,0.0,4
22,25,0.0,MVT,1.0929323142009,2.43305229916128,3.13662148582152,6.02939776717291,4.71087913529623,4.35303878497091,3.5723652292318,3.11833032230147,3.23907082862597,4.06670437549812,4
22,25,0.0,MSL,1.03764471381294,2.3914162868787,3.09112352429635,3.86522075088351,3.02618748956901,2.79836842046069,2.27423744082131,2.00819667170933,2.07242308195483,2.6480744560377,4
22,25,0.0,MVNC,0.500768200239454,1.86314390608049,2.7957045831664,9.60064213155268,7.48605562719368,6.86501945898103,5.98798264344862,4.91493812268744,5.8223012372643,0.0,4
22,25,0.0,MVTC,1.09293231416985,2.43305229913525,3.13662148580166,6.02939776743891,4.71087913550518,4.35303878516163,3.57236522939758,3.11833032244195,3.23907082878733,4.06670440476121,4
22,25,0.0,MSLC,0.964287131147981,2.32133078858406,3.04043138885902,4.3931771491768,3.44849998536819,3.18967804725731,2.61568126048864,2.30380666828833,2.40428012560233,3.22338476874221,4
23,25,0.0,MVN,1.88815390959701,2.37547011738562,3.18724551020636,4.60889432317598,2.64740014103325,2.79405556058316,1.66323631502878,1.60505225627558,1.85737352200966,0.0,4
23,25,0.0,MVT,1.88814822559262,2.37546813683747,3.18724433527131,4.60886189081142,2.64738077296567,2.79404199612766,1.663226339368,1.60504797961301,1.85736844993666,429244.742401833,4
23,25,0.0,MSL,1.88605982329993,2.37470721717725,3.18676647859141,4.3999461697591,2.52706507324886,2.66945238487759,1.58831959070974,1.5346881005019,1.7758809339073,44.4627225607931,4
23,25,0.0,MVNC,1.88815390959701,2.37547011738562,3.18724551020636,4.60889432317598,2.64740014103325,2.79405556058316,1.66323631502878,1.60505225627558,1.85737352200965,0.0,4
23,25,0.0,MVTC,1.88814975400088,2.37546866939593,3.18724465120455,4.60887061177169,2.64738598097656,2.79404564356173,1.66322902178899,1.60504912959153,1.85736981379595,587122.138274605,4
23,25,0.0,MSLC,1.86885778904198,2.36788547968173,3.18250003290788,3.95884689883555,2.27163220630661,2.41697130726439,1.43259082754689,1.39849204059585,1.61751642245427,14.2376375379927,4
