Rep,N,Crate,Model,run_sec,nu
99,25,0.0,MVNC,0.0199999999999996,4
99,25,0.0,MVTC,0.0099999999999997,4
99,25,0.0,MSLC,0.0,4
100,25,0.0,MVN,0.0,4
100,25,0.0,MVT,0.0,4
100,25,0.0,MSL,0.0200000000000005,4
100,25,0.0,MVNC,0.0,4
100,25,0.0,MVTC,0.0200000000000005,4
100,25,0.0,MSLC,0.0099999999999997,4
1,25,0.05,MVN,0.0,4
1,25,0.05,MVT,0.02,4
1,25,0.05,MSL,0.02,4
1,25,0.05,MVNC,0.570000000000164,4
1,25,0.05,MVTC,1.67000000000007,4
1,25,0.05,MSLC,2142.02,4
2,25,0.05,MVN,0.0,4
2,25,0.05,MVT,0.0199999999999818,4
2,25,0.05,MSL,0.0399999999999636,4
2,25,0.05,MVNC,0.390000000001237,4
2,25,0.05,MVTC,8.14000000000124,4
2,25,0.05,MSLC,13670.06,4
3,25,0.05,MVN,0.0,4
3,25,0.05,MVT,0.0200000000004366,4
3,25,0.05,MSL,0.0399999999990541,4
3,25,0.05,MVNC,0.0599999999994907,4
3,25,0.05,MVTC,1.97999999999956,4
3,25,0.05,MSLC,63.0100000000002,4
4,25,0.05,MVN,0.0,4
4,25,0.05,MVT,0.0299999999988358,4
4,25,0.05,MSL,0.0200000000004366,4
4,25,0.05,MVNC,0.0299999999988358,4
4,25,0.05,MVTC,0.909999999999854,4
4,25,0.05,MSLC,1532.78,4
5,25,0.05,MVN,0.0,4
5,25,0.05,MVT,0.0100000000020373,4
5,25,0.05,MSL,0.0200000000004366,4
5,25,0.05,MVNC,0.200000000000728,4
5,25,0.05,MVTC,7.02000000000044,4
5,25,0.05,MSLC,8005.27,4
6,25,0.05,MVN,0.0,4
6,25,0.05,MVT,0.0200000000004366,4
6,25,0.05,MSL,0.0099999999983992,4
6,25,0.05,MVNC,0.0,4
6,25,0.05,MVTC,1.68000000000029,4
6,25,0.05,MSLC,855.52,4
7,25,0.05,MVN,0.0,4
7,25,0.05,MVT,0.0,4
7,25,0.05,MSL,0.0299999999988358,4
7,25,0.05,MVNC,0.360000000000582,4
7,25,0.05,MVTC,13.1800000000003,4
7,25,0.05,MSLC,11270.0,4
8,25,0.05,MVN,0.02,4
8,25,0.05,MVT,0.02,4
8,25,0.05,MSL,0.03,4
8,25,0.05,MVNC,0.609999999999957,4
8,25,0.05,MVTC,0.839999999999975,4
8,25,0.05,MSLC,359.02,4
9,25,0.05,MVN,0.0,4
9,25,0.05,MVT,0.0,4
9,25,0.05,MSL,0.0300000000000296,4
9,25,0.05,MVNC,0.150000000000546,4
9,25,0.05,MVTC,10.2700000000004,4
9,25,0.05,MSLC,5742.28,4
10,25,0.05,MVN,0.0,4
10,25,0.05,MVT,0.0499999999992724,4
10,25,0.05,MSL,0.0399999999999636,4
10,25,0.05,MVNC,0.219999999999345,4
10,25,0.05,MVTC,8.5,4
10,25,0.05,MSLC,5982.67,4
11,25,0.05,MVN,0.0,4
11,25,0.05,MVT,0.0,4
