Rep,N,Crate,Model,Squared_Error1,Squared_Error2,Squared_Error3,Squared_Error4,Squared_Error5,Squared_Error6,Squared_Error7,Squared_Error8,Squared_Error9,Squared_Error10,MSE,nu
16,25,0.0,MVTC,0.689985980847068,0.270409192835176,0.0575843876544267,0.322154854173971,0.291605827716767,0.148404130660609,0.736683751694685,0.563427664762898,0.531926727271376,0.0533569529631053,0.401353613068553,4
16,25,0.0,MSLC,1.01399395730596,0.325056701659609,0.113525284935747,0.010458656047557,8.85429291873901e-07,0.0128932797794897,0.122115650005187,0.0855959424133513,0.0780428380390591,0.345001528352626,0.195742577290584,4
17,25,0.0,MVN,0.0761254682947854,0.0462668827651672,0.189245199881114,6.37274476122092,0.787656334007758,0.484618895085416,0.245516767019916,0.0536570913527943,0.0582427498194979,0.0,0.923786016605264,4
17,25,0.0,MVT,0.0538253193206232,0.0339122615102123,0.172253679865876,4.07677115605565,0.542657631885586,0.271280842190514,0.107999566483602,0.0867518492115208,0.115724286464165,420.491501336581,0.606797399220861,4
17,25,0.0,MSL,0.0636328049461404,0.0372116548610286,0.177554307010583,1.1520559068558,0.0249521082988446,0.0001743339449184,0.0042748405054252,0.229458301665872,0.258577653621101,29.8835714112396,0.216432434634413,4
17,25,0.0,MVNC,0.0761254682947854,0.0462668827651672,0.189245199881114,6.37274476122092,0.787656334007757,0.484618895085417,0.245516767019916,0.0536570913527947,0.0582427498194992,0.0,0.923786016605264,4
17,25,0.0,MVTC,0.0538253192586415,0.0339122614810014,0.172253679821343,4.07677115013819,0.542657631208358,0.27128084163378,0.107999566176772,0.0867518493197027,0.115724286653672,420.491497641267,0.606797398410162,4
17,25,0.0,MSLC,0.0511254633097976,0.0279609296384576,0.164457755128717,0.115245474151923,0.0326338640561258,0.123072734767637,0.0258153690113982,0.358283343605105,0.419110515919393,3.19478093524443,0.14641171662095,4
18,25,0.0,MVN,0.018614310038769,0.0397847201137275,0.0042379147666255,0.0547151048245781,0.0222293289258634,1.58567217864294,0.365286551412629,0.881657825738735,2.16917037157085,0.0,0.571263145114968,4
18,25,0.0,MVT,0.0058151258331088,0.11822714468818,0.0697429510342059,1.37522658758076,0.803893046994318,0.394983711264137,0.721357610870281,0.25154554214841,0.0158141034557797,0.0669876061330877,0.417400647096575,4
18,25,0.0,MSL,0.0143329430586622,0.144879658498056,0.0435749081975357,4.08051591906329,1.93600221837308,1.5540685274639,0.91259697565868,0.613721478581597,0.275224425362809,0.772900679821077,1.06387967269529,4
18,25,0.0,MVNC,0.018614310038769,0.0397847201137275,0.0042379147666255,0.0547151048245781,0.0222293289258634,1.58567217864294,0.365286551412629,0.881657825738736,2.16917037157085,0.0,0.571263145114968,4
18,25,0.0,MVTC,0.0058151258454133,0.11822714468503,0.0697429509196501,1.37522658482755,0.803893045501345,0.394983709962955,0.721357610198501,0.25154554158486,0.0158141032979157,0.0669876250998251,0.417400646313691,4
18,25,0.0,MSLC,0.0143062390120136,0.142364079307538,0.0300234467174784,2.49001268528128,1.22871945548372,0.851667710587159,0.715831699885517,0.391992244736973,0.103401297601239,0.107949161386551,0.663146539845879,4
19,25,0.0,MVN,0.902775903164341,0.61703616638362,0.0119980899310688,21.8151335065372,20.8622838222604,33.7229763036508,11.6354256061201,19.717495828816,12.3457960091106,0.0,13.5145468039971,4
19,25,0.0,MVT,0.55640121193945,0.259014765373405,0.0179674855304407,3.48999607432883,2.46060141652304,4.77987478431575,2.04329930896697,4.38424381992796,2.72918748664322,3.87746832132945,2.30228737261656,4
19,25,0.0,MSL,0.470261561516639,0.229764961342831,0.0173065841680628,0.0179221178186448,0.0157130880051867,0.365669173021638,0.311585308831949,1.10921131030914,0.645873719006263,0.128552100667844,0.353700869335595,4
19,25,0.0,MVNC,0.902775903164341,0.61703616638362,0.0119980899310688,21.8151335065372,20.8622838222605,33.7229763036508,11.6354256061201,19.717495828816,12.3457960091106,0.0,13.5145468039971,4
19,25,0.0,MVTC,0.55640121194765,0.259014765399422,0.0179674855207828,3.48999607678479,2.46060141845606,4.77987478768625,2.04329931019477,4.38424382219034,2.72918748824888,3.87746833321078,2.30228737404766,4
19,25,0.0,MSLC,0.462136055467765,0.223349139802106,0.0203088434593658,0.0981630704986185,0.0003729886369219,0.190500832998734,0.206723366687195,0.866014216778926,0.471026450593069,0.382926516177726,0.282066107213633,4
20,25,0.0,MVN,0.213270678778908,0.0145592420221517,0.004924400783231,17.7241313410841,4.8960862393386,1.42194610254186,2.08850025011208,0.523960540901693,1.34666618252303,0.0,3.13711610867619,4
20,25,0.0,MVT,0.335496503601636,0.0311708938864426,0.0003386175376543,1.55616591783797,0.351965056082368,0.0334523460515425,1.01362789132229,0.294287619775679,0.672682434086381,8.68846523915158,0.476576364464662,4
20,25,0.0,MSL,0.46417884963893,0.0606814436369185,0.0032615861797033,0.330046333209769,0.31778585586414,0.696816110114344,0.0810838001236642,0.0047799635741039,0.0260390413689363,0.0612565132442898,0.220519220412279,4
20,25,0.0,MVNC,0.213270678778908,0.0145592420221517,0.004924400783231,17.7241313410841,4.8960862393386,1.42194610254186,2.08850025011208,0.523960540901692,1.34666618252303,0.0,3.13711610867619,4
20,25,0.0,MVTC,0.335496503620484,0.0311708938913027,0.0003386175381642,1.55616591839147,0.351965056213288,0.0334523460746008,1.01362789141698,0.294287619791533,0.672682434154224,8.68846520848214,0.476576364565782,4
20,25,0.0,MSLC,0.459409406750131,0.060068490914966,0.0040974143632396,0.0172517131399246,0.103368430553542,0.42090569922669,0.183803708260178,0.0006623522316603,0.0863801363133399,0.40610994698302,0.148438594639297,4
21,25,0.0,MVN,0.262571766126627,0.40783697673293,0.072521836111015,0.0392756889632005,0.133771599338485,0.490976769255842,0.707327609284292,0.00561227886586,0.279406757964387,0.0,0.266589031404738,4
21,25,0.0,MVT,0.259432792344576,0.392482692308603,0.0697130043374167,0.0755923687463443,0.203142537920506,0.352228383784668,0.771228617581209,0.0154215719731538,0.249965994655199,21257.5339130169,0.265467551516853,4
21,25,0.0,MSL,0.246761603484343,0.366961912505799,0.064880785936262,0.927485804164871,0.844302647612637,0.0024215742169792,1.02938204687345,0.144682228757243,0.0345340888579967,67.1380094859732,0.406823632489953,4
21,25,0.0,MVNC,0.262571766126627,0.40783697673293,0.072521836111015,0.0392756889632005,0.133771599338485,0.490976769255841,0.707327609284293,0.0056122788658599,0.279406757964387,0.0,0.266589031404738,4
21,25,0.0,MVTC,0.261823484232171,0.404351108238386,0.0718831941527544,0.0463192506625411,0.147944750338036,0.458163195036584,0.721338311359141,0.0073734065229085,0.272744502342542,464812.764787608,0.265771244765007,4
21,25,0.0,MSLC,0.213066740864726,0.271689626432069,0.0469290120604255,3.59464767451595,2.86289938702976,1.14733129892551,1.65867017273731,0.660859534280259,0.045473531667945,0.979604091916861,1.16684077539044,4
22,25,0.0,MVN,0.249232389892154,0.0187295904429056,0.0417366173392132,26.0165501541703,20.1246950902761,14.938375418302,20.1419882078961,11.661802381784,18.6822879856565,0.0,12.4305997595288,4
