Rep,N,Crate,Model,SE1,SE2,SE3,nu
54,25,0.0,MVTR,0.243310890621614,0.508022314711576,0.259924830425613,4
54,25,0.0,MSLR,0.228612492599185,0.503267664537938,0.258208425354281,4
54,25,0.0,MVNCR,0.268607585014848,0.523268452101001,0.266406931593052,4
54,25,0.0,MVTCR,0.243310890611232,0.508022314680546,0.2599248304095,4
54,25,0.0,MSLCR,0.235768475077323,0.507972839628996,0.260304475311135,4
55,25,0.0,MVNR,0.167299566619083,0.460650767799882,0.233191302081686,4
55,25,0.0,MVTR,0.167299721345796,0.460651651248427,0.233191766408636,4
55,25,0.0,MSLR,0.166912068603176,0.459631406447852,0.232678289816731,4
55,25,0.0,MVNCR,0.167299566619083,0.460650767799879,0.233191302081685,4
55,25,0.0,MVTCR,0.167299869156797,0.4606524936388,0.233192209549414,4
55,25,0.0,MSLCR,0.167619756776643,0.46530031956158,0.23641498036879,4
56,25,0.0,MVNR,0.223364332785176,0.632303991226118,0.288447752031147,4
56,25,0.0,MVTR,0.223248152407407,0.631475322148239,0.288180586080132,4
56,25,0.0,MSLR,0.223347576829951,0.632173747329207,0.288405392128232,4
56,25,0.0,MVNCR,0.223364332785175,0.632303991226118,0.288447752031148,4
56,25,0.0,MVTCR,0.223248152231043,0.631475320935353,0.288180585685011,4
56,25,0.0,MSLCR,0.217386002888286,0.59292922865949,0.273921599916682,4
57,25,0.0,MVNR,0.252400601077209,0.438548493499699,0.214727921967041,4
57,25,0.0,MVTR,0.265459625931895,0.434383719756102,0.21423534104883,4
57,25,0.0,MSLR,0.263271580953356,0.445110454089031,0.218747310235115,4
57,25,0.0,MVNCR,0.252400601077209,0.438548493499696,0.21472792196704,4
57,25,0.0,MVTCR,0.265459625947236,0.434383719770779,0.214235341056456,4
57,25,0.0,MSLCR,0.261283490658102,0.44526366244535,0.218736704229406,4
58,25,0.0,MVNR,0.194260676176387,0.469397087668216,0.23363309094061,4
58,25,0.0,MVTR,0.194160904264891,0.470666665998122,0.234474129600589,4
58,25,0.0,MSLR,0.193891788485764,0.469256684348029,0.233663638061093,4
58,25,0.0,MVNCR,0.194260676176386,0.469397087668212,0.233633090940608,4
58,25,0.0,MVTCR,0.194007794853409,0.472114568700162,0.23544358405505,4
58,25,0.0,MSLCR,0.192213667240787,0.48234289025263,0.242237744420172,4
59,25,0.0,MVNR,0.231115348376606,0.516348343470389,0.254468137807557,4
59,25,0.0,MVTR,0.236346613114565,0.51374040021586,0.254490619663752,4
