Rep,N,Crate,Model,MSE_R,MSE_C,nu
60,25,0.0,MVNCR,2.56328151248921,,4
60,25,0.0,MVTCR,2.56327785704652,,4
60,25,0.0,MSLCR,2.5633180833935,,4
61,25,0.0,MVNR,2.82773620670293,,4
61,25,0.0,MVTR,2.82907441689154,,4
61,25,0.0,MSLR,2.82754254877304,,4
61,25,0.0,MVNCR,2.82773620670292,,4
61,25,0.0,MVTCR,2.82907441689129,,4
61,25,0.0,MSLCR,2.82756308980276,,4
62,25,0.0,MVNR,2.83347705698884,,4
62,25,0.0,MVTR,2.83431795558556,,4
62,25,0.0,MSLR,2.83518085926727,,4
62,25,0.0,MVNCR,2.83347705698884,,4
62,25,0.0,MVTCR,2.83431795558545,,4
62,25,0.0,MSLCR,2.83552272798805,,4
63,25,0.0,MVNR,3.70513897189411,,4
63,25,0.0,MVTR,3.67978122157222,,4
63,25,0.0,MSLR,3.68432876110798,,4
63,25,0.0,MVNCR,3.70513897189411,,4
63,25,0.0,MVTCR,3.67978122156062,,4
63,25,0.0,MSLCR,3.68888478275324,,4
64,25,0.0,MVNR,3.50970841793244,,4
64,25,0.0,MVTR,3.50641381458553,,4
64,25,0.0,MSLR,3.50893921330116,,4
64,25,0.0,MVNCR,3.50970841793243,,4
64,25,0.0,MVTCR,3.50641381459016,,4
64,25,0.0,MSLCR,3.50913285608106,,4
65,25,0.0,MVNR,3.14350879151085,,4
65,25,0.0,MVTR,3.14508207256914,,4
65,25,0.0,MSLR,3.14531360561821,,4
65,25,0.0,MVNCR,3.14350879151085,,4
65,25,0.0,MVTCR,3.14508207256915,,4
65,25,0.0,MSLCR,3.14551537336985,,4
66,25,0.0,MVNR,3.16401380254845,,4
66,25,0.0,MVTR,3.16566768702479,,4
66,25,0.0,MSLR,3.16423226594795,,4
66,25,0.0,MVNCR,3.16401380254845,,4
66,25,0.0,MVTCR,3.16566768702456,,4
66,25,0.0,MSLCR,3.16639745134909,,4
67,25,0.0,MVNR,3.446461617618,,4
67,25,0.0,MVTR,3.4478346593859,,4
67,25,0.0,MSLR,3.44490650832782,,4
67,25,0.0,MVNCR,3.44646161761801,,4
67,25,0.0,MVTCR,3.44783465938756,,4
67,25,0.0,MSLCR,3.44690434374329,,4
68,25,0.0,MVNR,2.93809521522333,,4
68,25,0.0,MVTR,2.9333202965951,,4
68,25,0.0,MSLR,2.93585482910572,,4
68,25,0.0,MVNCR,2.93809521522333,,4
68,25,0.0,MVTCR,2.93332029658809,,4
68,25,0.0,MSLCR,2.93439254364311,,4
69,25,0.0,MVNR,2.3878714008267,,4
69,25,0.0,MVTR,2.38792414002363,,4
69,25,0.0,MSLR,2.38787881509071,,4
69,25,0.0,MVNCR,2.3878714008267,,4
69,25,0.0,MVTCR,2.38792418554675,,4
69,25,0.0,MSLCR,2.38729822618293,,4
70,25,0.0,MVNR,4.15630031778834,,4
70,25,0.0,MVTR,4.27811833714552,,4
70,25,0.0,MSLR,4.22675915419502,,4
70,25,0.0,MVNCR,4.15630031778834,,4
70,25,0.0,MVTCR,4.27811833715624,,4
70,25,0.0,MSLCR,4.20262615734345,,4
71,25,0.0,MVNR,2.49285621691708,,4
71,25,0.0,MVTR,2.49289166390653,,4
71,25,0.0,MSLR,2.49285087015165,,4
71,25,0.0,MVNCR,2.49285621691709,,4
71,25,0.0,MVTCR,2.49289111411803,,4
71,25,0.0,MSLCR,2.49011265647879,,4
72,25,0.0,MVNR,3.40158687425348,,4
72,25,0.0,MVTR,3.4410422992579,,4
72,25,0.0,MSLR,3.44265138279144,,4
72,25,0.0,MVNCR,3.40158687425348,,4
72,25,0.0,MVTCR,3.44104229935744,,4
72,25,0.0,MSLCR,3.43473026087116,,4
73,25,0.0,MVNR,2.61494383524968,,4
73,25,0.0,MVTR,2.62063646867707,,4
73,25,0.0,MSLR,2.6241088355556,,4
73,25,0.0,MVNCR,2.61494383524968,,4
73,25,0.0,MVTCR,2.620636468676,,4
73,25,0.0,MSLCR,2.624075462466,,4
74,25,0.0,MVNR,3.05319265872535,,4
74,25,0.0,MVTR,3.05305735958176,,4
74,25,0.0,MSLR,3.05324997229164,,4
74,25,0.0,MVNCR,3.05319265872534,,4
74,25,0.0,MVTCR,3.05305790529591,,4
74,25,0.0,MSLCR,3.05241014466583,,4
75,25,0.0,MVNR,2.06777035871652,,4
75,25,0.0,MVTR,2.06785378418754,,4
75,25,0.0,MSLR,2.06782248293781,,4
75,25,0.0,MVNCR,2.06777035871653,,4
75,25,0.0,MVTCR,2.0678535137881,,4
75,25,0.0,MSLCR,2.06861849017629,,4
76,25,0.0,MVNR,2.2516837700472,,4
76,25,0.0,MVTR,2.25168293530528,,4
76,25,0.0,MSLR,2.25169398787063,,4
76,25,0.0,MVNCR,2.2516837700472,,4
76,25,0.0,MVTCR,2.25168300835511,,4
76,25,0.0,MSLCR,2.25509552624665,,4
77,25,0.0,MVNR,4.51217060776366,,4
77,25,0.0,MVTR,4.51629943572145,,4
77,25,0.0,MSLR,4.51597831881889,,4
77,25,0.0,MVNCR,4.51217060776367,,4
77,25,0.0,MVTCR,4.51629943571805,,4
77,25,0.0,MSLCR,4.51771864046813,,4
78,25,0.0,MVNR,2.40991522080476,,4
78,25,0.0,MVTR,2.40991264306283,,4
78,25,0.0,MSLR,2.40991131592776,,4
78,25,0.0,MVNCR,2.40991522080476,,4
78,25,0.0,MVTCR,2.40991292352326,,4
78,25,0.0,MSLCR,2.41124371911293,,4
79,25,0.0,MVNR,3.55047702597168,,4
79,25,0.0,MVTR,3.59987482379881,,4
79,25,0.0,MSLR,3.5964190346108,,4
79,25,0.0,MVNCR,3.55047702597167,,4
79,25,0.0,MVTCR,3.59987482396836,,4
79,25,0.0,MSLCR,3.59717014057163,,4
80,25,0.0,MVNR,3.15157005528507,,4
80,25,0.0,MVTR,3.17752379332731,,4
80,25,0.0,MSLR,3.18133717250801,,4
80,25,0.0,MVNCR,3.15157005528507,,4
80,25,0.0,MVTCR,3.17752379395481,,4
80,25,0.0,MSLCR,3.17952911902714,,4
81,25,0.0,MVNR,1.88192884424418,,4
81,25,0.0,MVTR,1.88668815640075,,4
81,25,0.0,MSLR,1.88613455025476,,4
81,25,0.0,MVNCR,1.88192884424418,,4
81,25,0.0,MVTCR,1.88668815639346,,4
81,25,0.0,MSLCR,1.88195844359781,,4
82,25,0.0,MVNR,2.75485513861795,,4
82,25,0.0,MVTR,2.78278259502648,,4
82,25,0.0,MSLR,2.78457928493827,,4
82,25,0.0,MVNCR,2.75485513861795,,4
82,25,0.0,MVTCR,2.78278259503406,,4
82,25,0.0,MSLCR,2.78274835063974,,4
83,25,0.0,MVNR,2.90540443426224,,4
83,25,0.0,MVTR,2.90488754773662,,4
83,25,0.0,MSLR,2.90516315916163,,4
83,25,0.0,MVNCR,2.90540443426224,,4
83,25,0.0,MVTCR,2.90488754773721,,4
83,25,0.0,MSLCR,2.90522446022488,,4
84,25,0.0,MVNR,2.0962958800558,,4
84,25,0.0,MVTR,2.09225702738395,,4
84,25,0.0,MSLR,2.09439273133916,,4
84,25,0.0,MVNCR,2.09629588005579,,4
84,25,0.0,MVTCR,2.09225702738262,,4
84,25,0.0,MSLCR,2.09552891376994,,4
85,25,0.0,MVNR,2.88490078873251,,4
85,25,0.0,MVTR,2.88490683985747,,4
85,25,0.0,MSLR,2.88499306071362,,4
85,25,0.0,MVNCR,2.88490078873251,,4
85,25,0.0,MVTCR,2.8849079730597,,4
85,25,0.0,MSLCR,2.89170939983666,,4
86,25,0.0,MVNR,3.30777849874439,,4
86,25,0.0,MVTR,3.30781348398639,,4
86,25,0.0,MSLR,3.30781759978938,,4
86,25,0.0,MVNCR,3.30777849874439,,4
86,25,0.0,MVTCR,3.30780894380264,,4
86,25,0.0,MSLCR,3.31019097361402,,4
87,25,0.0,MVNR,4.2879922575712,,4
87,25,0.0,MVTR,4.29461251805788,,4
87,25,0.0,MSLR,4.29610647822487,,4
87,25,0.0,MVNCR,4.2879922575712,,4
87,25,0.0,MVTCR,4.29461251805879,,4
87,25,0.0,MSLCR,4.29965137695178,,4
88,25,0.0,MVNR,3.6644403327683,,4
88,25,0.0,MVTR,3.68741134135514,,4
88,25,0.0,MSLR,3.67584826184894,,4
88,25,0.0,MVNCR,3.6644403327683,,4
88,25,0.0,MVTCR,3.68741134135914,,4
88,25,0.0,MSLCR,3.67492314683982,,4
