Rep,N,Crate,Model,LogLik,AIC,BIC,nu
26,25,0.0,MVTCR,-239.685946486725,517.371892973451,540.530533645947,4
26,25,0.0,MSLCR,-240.365281317353,518.730562634705,541.889203307201,4
27,25,0.0,MVNR,-244.776181827946,525.552363655892,547.49212850352,4
27,25,0.0,MVTR,-235.05617103807,508.11234207614,531.270982748636,4
27,25,0.0,MSLR,-233.319133860252,504.638267720505,527.796908393,4
27,25,0.0,MVNCR,-244.776181827946,525.552363655892,547.49212850352,4
27,25,0.0,MVTCR,-235.056171038066,508.112342076132,531.270982748627,4
27,25,0.0,MSLCR,-233.444617876272,504.889235752544,528.04787642504,4
28,25,0.0,MVNR,-249.316630120086,534.633260240172,556.5730250878,4
28,25,0.0,MVTR,-238.332527157213,514.665054314426,537.823694986922,4
28,25,0.0,MSLR,-235.687397146803,509.374794293607,532.533434966103,4
28,25,0.0,MVNCR,-249.316630120086,534.633260240172,556.5730250878,4
28,25,0.0,MVTCR,-238.332527157229,514.665054314458,537.823694986953,4
28,25,0.0,MSLCR,-235.698381679445,509.396763358889,532.555404031385,4
29,25,0.0,MVNR,-232.124739264133,500.249478528265,522.189243375893,4
29,25,0.0,MVTR,-228.863767199427,495.727534398854,518.88617507135,4
29,25,0.0,MSLR,-228.843128052023,495.686256104047,518.844896776543,4
29,25,0.0,MVNCR,-232.124739264133,500.249478528265,522.189243375893,4
29,25,0.0,MVTCR,-228.863767171923,495.727534343846,518.886175016341,4
29,25,0.0,MSLCR,-228.878684647701,495.757369295402,518.916009967898,4
30,25,0.0,MVNR,-205.266755053566,446.533510107132,468.473274954759,4
30,25,0.0,MVTR,-205.266758978535,448.53351795707,471.692158629566,4
30,25,0.0,MSLR,-205.271772751123,448.543545502246,471.702186174742,4
30,25,0.0,MVNCR,-205.266755053566,446.533510107132,468.473274954759,4
30,25,0.0,MVTCR,-205.293040820332,448.586081640664,471.74472231316,4
30,25,0.0,MSLCR,-205.336687221557,448.673374443114,471.83201511561,4
31,25,0.0,MVNR,-224.555494609885,485.11098921977,507.050754067398,4
31,25,0.0,MVTR,-224.254147950075,486.50829590015,509.666936572646,4
31,25,0.0,MSLR,-224.127160174797,486.254320349595,509.41296102209,4
31,25,0.0,MVNCR,-224.555494609885,485.11098921977,507.050754067398,4
31,25,0.0,MVTCR,-224.254147950114,486.508295900227,509.666936572723,4
31,25,0.0,MSLCR,-224.261354762088,486.522709524176,509.681350196671,4
32,25,0.0,MVNR,-215.153999655352,466.307999310704,488.247764158331,4
32,25,0.0,MVTR,-215.169646319241,468.339292638483,491.497933310979,4
32,25,0.0,MSLR,-215.157040566386,468.314081132773,491.472721805269,4
32,25,0.0,MVNCR,-215.153999655352,466.307999310704,488.247764158331,4
32,25,0.0,MVTCR,-215.169646351174,468.339292702347,491.497933374843,4
32,25,0.0,MSLCR,-215.83307335292,469.66614670584,492.824787378336,4
33,25,0.0,MVNR,-230.27402484872,496.54804969744,518.487814545067,4
33,25,0.0,MVTR,-230.206718384247,498.413436768495,521.57207744099,4
33,25,0.0,MSLR,-230.273625807869,498.547251615739,521.705892288234,4
33,25,0.0,MVNCR,-230.27402484872,496.54804969744,518.487814545067,4
33,25,0.0,MVTCR,-230.20671838425,498.4134367685,521.572077440996,4
33,25,0.0,MSLCR,-231.29535574514,500.590711490279,523.749352162775,4
34,25,0.0,MVNR,-217.228218195562,470.456436391125,492.396201238752,4
34,25,0.0,MVTR,-216.55592376185,471.1118475237,494.270488196196,4
34,25,0.0,MSLR,-216.946776112286,471.893552224572,495.052192897068,4
34,25,0.0,MVNCR,-217.228218195562,470.456436391125,492.396201238752,4
34,25,0.0,MVTCR,-216.555923761845,471.11184752369,494.270488196186,4
34,25,0.0,MSLCR,-216.964868984116,471.929737968232,495.088378640728,4
35,25,0.0,MVNR,-259.868279233307,555.736558466614,577.676323314242,4
35,25,0.0,MVTR,-247.502697604232,533.005395208463,556.164035880959,4
35,25,0.0,MSLR,-246.55119981705,531.102399634101,554.261040306597,4
35,25,0.0,MVNCR,-259.868279233307,555.736558466614,577.676323314242,4
35,25,0.0,MVTCR,-247.502697604229,533.005395208459,556.164035880955,4
35,25,0.0,MSLCR,-246.658981035816,531.317962071631,554.476602744127,4
36,25,0.0,MVNR,-242.720275933416,521.440551866833,543.38031671446,4
36,25,0.0,MVTR,-241.76334432534,521.526688650679,544.685329323175,4
36,25,0.0,MSLR,-242.400863116796,522.801726233592,545.960366906088,4
36,25,0.0,MVNCR,-242.720275933416,521.440551866833,543.38031671446,4
36,25,0.0,MVTCR,-241.763344325277,521.526688650554,544.685329323049,4
36,25,0.0,MSLCR,-242.711269523066,523.422539046132,546.581179718628,4
37,25,0.0,MVNR,-231.287771650772,498.575543301543,520.515308149171,4
37,25,0.0,MVTR,-230.093759823778,498.187519647556,521.346160320052,4
37,25,0.0,MSLR,-229.763096027279,497.526192054559,520.684832727055,4
37,25,0.0,MVNCR,-231.287771650772,498.575543301543,520.515308149171,4
37,25,0.0,MVTCR,-230.09375982378,498.187519647561,521.346160320057,4
37,25,0.0,MSLCR,-229.762233455486,497.524466910971,520.683107583467,4
38,25,0.0,MVNR,-218.285125028132,472.570250056264,494.510014903892,4
38,25,0.0,MVTR,-218.285122466208,474.570244932415,497.728885604911,4
38,25,0.0,MSLR,-218.288075732415,474.576151464831,497.734792137327,4
38,25,0.0,MVNCR,-218.285125028132,472.570250056264,494.510014903892,4
