Rep,N,Crate,Model,Squared_Error1,Squared_Error2,Squared_Error3,Squared_Error4,Squared_Error5,Squared_Error6,Squared_Error7,Squared_Error8,Squared_Error9,Squared_Error10,Squared_Error11,Squared_Error12,Squared_Error13,Squared_Error14,Squared_Error15,Squared_Error16,Squared_Error17,Squared_Error18,Squared_Error19,MSE,nu
6,25,0.0,MVNCR,0.0305705105359865,0.842277915891493,0.187126121510153,2.67762464958278,0.0632462161809393,0.859985789496478,2.23236581217756,1.15598144023624,3.00052632563931,0.391922767625632,5.07202832121314,8.11261881558943,16.7518137153681,1.06684794403453,0.0302242206885331,0.916864896418573,3.46251116215191,0.930906933645295,0.0,2.65474686433256,4
6,25,0.0,MVTCR,0.0415669958318096,0.530418404546401,0.110318131057932,2.04672031945839,0.062081179052648,0.552325314419922,1.54283656283585,1.07443144285091,1.00095830153426,0.218120058719281,4.33580690134716,4.27081723620452,7.13757291926694,0.82617233248316,0.0238626438504626,0.36123870552118,1.77732336781289,0.512524978657165,87.2492855375961,1.46806087752505,4
6,25,0.0,MSLCR,0.0421060664090181,0.441874026041414,0.0932459649823163,0.421789183003452,0.0068283777874258,0.0175043398461161,0.476700298314294,0.353883138058587,0.0176229615611882,0.0282106903675106,1.71785591252597,1.2015446528035,0.819784957373644,0.253877616369211,0.0001628690756013,0.0480799189400652,0.501107626609015,0.0172913148901688,6.73635008164652e-05,0.358859439719917,4
7,25,0.0,MVNR,0.20455702835346,2.01695190893138,0.385126376737754,0.888193052459126,0.0153491736584474,0.744939899831241,0.298871463872732,0.416873500130412,7.25810748305268,0.163766030708719,0.0197851408649833,1.0547176109145,0.0642417129536473,0.0982920458444956,0.18571226711023,0.0939683957189304,0.2258256214345,0.105231662472176,0.0,0.791139465280522,4
7,25,0.0,MVTR,0.22057397636221,1.71211636918158,0.318713627277356,0.463397461160723,0.0242625815680162,0.0620646597151698,0.177660774414782,0.280904940752721,4.48115473257502,0.229527982165854,0.0921928514189805,0.560235264336999,0.277603175460774,0.120135412256752,0.0706320270078575,0.0284523745914562,0.130323518741695,0.0164103980221795,57.7518838042737,0.514797895945007,4
7,25,0.0,MSLR,0.236837019851713,1.75622091474584,0.324440878867637,0.101070896943865,0.035364328496803,0.0769815201846917,0.0696226413817283,0.0814607079349473,1.30117729709097,0.196397184519227,0.114419544553821,0.225786414952909,0.790777410462871,0.10427170793509,0.0157122600106515,0.0041471142082422,0.0401702851048741,0.0143039656727473,1.92827130095075,0.30495344960659,4
7,25,0.0,MVNCR,0.204557028353501,2.01695190893171,0.385126376737812,0.888193052459133,0.0153491736584491,0.744939899831243,0.298871463872734,0.416873500130416,7.25810748305266,0.163766030708718,0.0197851408649823,1.05471761091449,0.0642417129536485,0.0982920458444966,0.18571226711023,0.0939683957189307,0.225825621434501,0.105231662472176,0.0,0.791139465280546,4
7,25,0.0,MVTCR,0.220573976362452,1.71211636919727,0.318713627280436,0.463397461182625,0.024262581567229,0.0620646597301565,0.177660774421988,0.280904940758186,4.48115473272418,0.229527982163453,0.0921928514156132,0.560235264356762,0.277603175445989,0.120135412255118,0.0706320270118928,0.0284523745940113,0.130323518745975,0.0164103980249944,57.7518837899313,0.514797895957685,4
7,25,0.0,MSLCR,0.237616653396527,1.74991283222416,0.322976248390498,0.0928835395387705,0.0356581929230707,0.0902365723728009,0.0666281781063024,0.0782859720371906,1.2301358052942,0.197182695627904,0.116574409498699,0.215554695503643,0.813137548362118,0.104415184417084,0.0142508397288524,0.003539997576418,0.0380210566654624,0.0165885385110599,1.44047021000981,0.301311053343042,4
8,25,0.0,MVNR,0.223726286315118,0.149311397165298,0.0632915631441121,0.0002082046028131,0.0034977776471865,0.0001455395282345,0.309868020204201,0.146847772070979,0.525568754578417,0.180842193804293,0.246716441991021,0.0876043120865975,0.649768655220586,0.0893076377515671,0.203396361572092,0.105650283678945,0.0610285949458658,0.0502575056979335,0.0,0.172057627889181,4
8,25,0.0,MVTR,0.222787705316631,0.148465207746212,0.0630389301390798,0.0003465442948849,0.0035036784729914,0.0003781125596111,0.304830734402662,0.14461646089066,0.50732672150086,0.178487131126505,0.246258796244466,0.0883657150614691,0.63880517811183,0.0884576342782536,0.201798373379122,0.104315654922123,0.0606682753747011,0.0498180525401982,396051.734363901,0.169570494797903,4
