Rep,N,Crate,Model,run_sec,nu
77,25,0.0,MSLR,0.0099999999999997,4
77,25,0.0,MVNCR,0.0099999999999997,4
77,25,0.0,MVTCR,0.0299999999999994,4
77,25,0.0,MSLCR,0.0200000000000014,4
78,25,0.0,MVNR,0.0,4
78,25,0.0,MVTR,0.0299999999999994,4
78,25,0.0,MSLR,0.0500000000000007,4
78,25,0.0,MVNCR,0.0,4
78,25,0.0,MVTCR,0.0300000000000011,4
78,25,0.0,MSLCR,0.0,4
79,25,0.0,MVNR,0.0199999999999996,4
79,25,0.0,MVTR,0.0,4
79,25,0.0,MSLR,0.0099999999999997,4
79,25,0.0,MVNCR,0.0,4
79,25,0.0,MVTCR,0.0300000000000011,4
79,25,0.0,MSLCR,0.0199999999999996,4
80,25,0.0,MVNR,0.0099999999999997,4
80,25,0.0,MVTR,0.0,4
80,25,0.0,MSLR,0.0199999999999996,4
80,25,0.0,MVNCR,0.0,4
80,25,0.0,MVTCR,0.0199999999999996,4
80,25,0.0,MSLCR,0.0199999999999996,4
81,25,0.0,MVNR,0.0,4
81,25,0.0,MVTR,0.0099999999999997,4
81,25,0.0,MSLR,0.0,4
81,25,0.0,MVNCR,0.0,4
81,25,0.0,MVTCR,0.0400000000000009,4
81,25,0.0,MSLCR,0.0199999999999996,4
82,25,0.0,MVNR,0.0,4
82,25,0.0,MVTR,0.0199999999999996,4
82,25,0.0,MSLR,0.0,4
82,25,0.0,MVNCR,0.0,4
82,25,0.0,MVTCR,0.0400000000000009,4
82,25,0.0,MSLCR,0.0099999999999997,4
83,25,0.0,MVNR,0.0,4
83,25,0.0,MVTR,0.0100000000000016,4
83,25,0.0,MSLR,0.0499999999999989,4
83,25,0.0,MVNCR,0.0199999999999996,4
83,25,0.0,MVTCR,0.0399999999999991,4
83,25,0.0,MSLCR,0.0199999999999996,4
84,25,0.0,MVNR,0.0,4
84,25,0.0,MVTR,0.0099999999999997,4
84,25,0.0,MSLR,0.0200000000000014,4
84,25,0.0,MVNCR,0.0,4
84,25,0.0,MVTCR,0.0099999999999997,4
84,25,0.0,MSLCR,0.0199999999999996,4
85,25,0.0,MVNR,0.0,4
85,25,0.0,MVTR,0.0,4
85,25,0.0,MSLR,0.0400000000000009,4
85,25,0.0,MVNCR,0.0,4
85,25,0.0,MVTCR,0.0099999999999997,4
85,25,0.0,MSLCR,0.0099999999999997,4
86,25,0.0,MVNR,0.0099999999999997,4
86,25,0.0,MVTR,0.0199999999999996,4
86,25,0.0,MSLR,0.0500000000000007,4
86,25,0.0,MVNCR,0.0,4
86,25,0.0,MVTCR,0.0500000000000007,4
86,25,0.0,MSLCR,0.0099999999999997,4
87,25,0.0,MVNR,0.0,4
